HTTP,61.135.217.7,80
HTTP,180.110.6.151,808
HTTPS,175.148.100.217,1133
HTTPS,123.235.32.36,38267
HTTP,222.95.22.150,61234
HTTP,118.187.58.34,53281
HTTPS,115.219.108.205,8010
HTTPS,121.228.48.31,3128
HTTPS,123.162.192.33,8010
HTTPS,42.59.84.83,1133
HTTPS,59.42.42.93,8118
HTTP,61.184.109.33,61320
HTTPS,180.118.242.86,61234
HTTPS,60.176.47.185,8118
HTTPS,113.105.202.114,3128
HTTP,117.85.221.88,8123
HTTPS,222.223.115.30,51618
HTTPS,118.89.138.129,52699
HTTPS,115.46.80.158,8123
HTTPS,117.41.144.58,8123
HTTPS,115.46.84.163,8123
HTTPS,182.111.64.7,41766
HTTP,182.88.185.95,8123
HTTPS,119.179.60.117,8118
HTTPS,183.47.2.201,30278
HTTP,114.230.96.11,8010
HTTP,112.85.59.2,38198
HTTP,113.122.3.237,53128
HTTPS,14.18.65.254,808
HTTPS,219.234.5.128,3128
HTTP,183.3.150.210,41258
HTTPS,58.210.94.242,43627
HTTPS,58.56.149.198,53281
HTTP,180.118.243.56,808
HTTP,116.7.176.75,8118
HTTPS,180.164.24.165,53281
HTTP,121.10.71.82,8118
HTTPS,106.3.79.57,31662
HTTPS,27.208.83.27,8118
HTTP,1.197.53.219,53281
HTTP,123.162.168.192,40274
HTTPS,113.14.236.235,8118
HTTPS,218.76.253.201,61408
HTTPS,27.24.215.49,57248
HTTPS,27.155.83.182,8081
HTTPS,124.235.180.121,80
HTTPS,60.191.201.38,45461
HTTPS,223.244.252.58,45744
HTTPS,112.86.6.180,8081
HTTPS,115.46.117.134,8123
HTTP,219.147.8.148,8000
HTTPS,106.15.42.179,33543
HTTPS,118.122.92.252,37901
HTTPS,115.223.109.120,8010
HTTPS,119.101.114.48,40250
HTTPS,123.185.220.79,8118
HTTPS,125.40.238.181,56948
HTTPS,203.93.125.238,51108
HTTPS,61.145.69.27,42380
HTTPS,42.123.125.181,8088
HTTPS,49.77.61.28,8123
HTTPS,116.30.221.8,8118
HTTPS,211.152.33.24,48749
HTTP,27.155.84.233,8081
HTTPS,218.24.16.198,43620
HTTP,123.244.148.5,60230
HTTP,122.115.78.240,38157
HTTP,61.178.238.122,63000
HTTPS,202.104.113.35,53281
HTTP,125.105.110.159,3128
HTTPS,218.95.175.41,8118
HTTPS,221.218.102.146,33323
HTTPS,221.224.136.211,35101
HTTPS,115.46.116.115,8123
HTTPS,58.241.186.90,43043
HTTP,113.105.201.188,3128
HTTPS,123.185.220.75,8118
HTTP,180.110.6.91,808
HTTPS,123.185.67.16,8118
HTTPS,121.9.215.94,39545
HTTPS,180.113.98.17,8123
HTTPS,117.21.191.154,32431
HTTPS,123.185.80.166,8118
HTTP,114.230.41.175,3128
HTTPS,221.229.18.177,808
HTTPS,58.240.232.126,57505
HTTP,180.110.5.43,3128
HTTPS,121.238.4.253,25270
HTTP,124.235.135.87,80
HTTP,221.214.180.122,33190
HTTPS,58.45.223.13,10800
HTTPS,115.46.77.176,8123
HTTPS,59.57.151.126,37749
HTTPS,125.117.144.145,8010
HTTP,115.46.118.28,8123
HTTPS,115.223.115.116,8010
HTTPS,182.111.64.8,21776
HTTP,123.247.244.140,8123
HTTPS,183.15.120.235,29501
HTTP,61.176.223.7,58822
